factor,level,method,lead_hour,n,rmse,mae
pm_bin,moderate,Persistence,1,61056,16.331418618470597,9.07598881348499
pm_bin,high,Persistence,1,58551,18.870044223810897,11.896891587727406
pm_bin,severe,Persistence,1,35598,34.10077522582479,20.73469515938231
pm_bin,low,Persistence,6,96456,47.489508368028844,20.63920188402471
pm_bin,moderate,Persistence,6,61035,40.14314461924607,26.311473211535485
pm_bin,high,Persistence,6,58551,46.051648844102715,34.41065619390947
pm_bin,severe,Persistence,6,35598,96.24319796545923,67.86087206742945
pm_bin,low,Persistence,12,96513,68.17677747550663,33.754628516996966
pm_bin,moderate,Persistence,12,60984,49.02686339029603,33.40686824773532
pm_bin,high,Persistence,12,58545,58.00945188843144,44.68967048594685
pm_bin,severe,Persistence,12,35598,122.42994904397057,88.50374902606754
pm_bin,low,Persistence,24,96705,89.51824053849393,50.64573606523189
pm_bin,moderate,Persistence,24,60804,57.5480887936397,40.019817721709614
pm_bin,high,Persistence,24,58533,64.9574903895931,53.149325399431554
pm_bin,severe,Persistence,24,35598,139.7317227698839,109.8618918204617
pm_bin,low,STGCN,1,96435,13.695961667313465,7.812003680115361
pm_bin,moderate,STGCN,1,61056,16.29712071492044,11.132370966379249
pm_bin,high,STGCN,1,58551,21.976340469172882,16.267082641620327
pm_bin,severe,STGCN,1,35598,44.33029768001942,31.728162171726943
pm_bin,low,STGCN,6,96456,27.89698943359692,15.425917652814634
pm_bin,moderate,STGCN,6,61035,31.487180541830448,21.240373091698864
pm_bin,high,STGCN,6,58551,39.18898624013876,29.323953197072896
pm_bin,severe,STGCN,6,35598,87.11738372911591,62.09118142367226
pm_bin,low,STGCN,12,96513,33.29113537312825,18.909210109635843
pm_bin,moderate,STGCN,12,60984,34.03780338583136,24.28598768561277
pm_bin,high,STGCN,12,58545,43.62092953331773,33.16873699477861
pm_bin,severe,STGCN,12,35598,106.38290056039583,75.41150852321032
pm_bin,low,STGCN,24,96705,61.69396573564581,38.93566956026626
pm_bin,moderate,STGCN,24,60804,36.281695467713476,25.018734221693386
pm_bin,high,STGCN,24,58533,45.62242830741125,36.38462368415083
pm_bin,severe,STGCN,24,35598,132.90307669140876,100.74031252367817
pm_bin,low,Spatial CNN,1,96435,16.826528308569422,9.124606309484939
pm_bin,moderate,Spatial CNN,1,61056,19.5478115339803,13.759061271976876
pm_bin,high,Spatial CNN,1,58551,27.50012733177006,20.612927828602082
pm_bin,severe,Spatial CNN,1,35598,53.10907704456846,36.60801968943424
pm_bin,low,Spatial CNN,6,96456,26.52471414249276,13.265509217075323
pm_bin,moderate,Spatial CNN,6,61035,30.4102756928882,20.26190710207593
pm_bin,high,Spatial CNN,6,58551,37.778581646190474,27.806774516893256
pm_bin,severe,Spatial CNN,6,35598,80.8818769902684,56.08799824987116
pm_bin,low,Spatial CNN,12,96513,34.18416091436476,17.166530792793427
pm_bin,moderate,Spatial CNN,12,60984,32.80607768741801,22.618248205680352
pm_bin,high,Spatial CNN,12,58545,42.81781639044897,31.862791419805028
pm_bin,severe,Spatial CNN,12,35598,99.27313196253102,70.56711475045047
pm_bin,low,Spatial CNN,24,96705,70.69853310236125,40.22458466578834
pm_bin,moderate,Spatial CNN,24,60804,41.14562628954819,27.193913925290854
pm_bin,high,Spatial CNN,24,58533,50.00783046407312,38.49436592995034
pm_bin,severe,Spatial CNN,24,35598,125.97632458150508,92.32803581508266
rapid_change,rapid_change,AGCRN,1,15969,60.910329890088754,43.41283737473216
rapid_change,stable_or_gradual,AGCRN,1,235671,23.31981139610079,14.210694184930857
rapid_change,rapid_change,AGCRN,6,15963,92.1462678059055,63.825949642657186
